year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,country,type,cost_inr_lakh,cost_usd,status,transferred,overseas,sold_price,sold_price_in_cr
2014,Delhi Daredevils,600000000,0,35390,SS Tiwary,SS Tiwary,,IND,BAT,70,116000,New,FALSE,FALSE,7000000,0.7
2014,Delhi Daredevils,600000000,0,326017,S Kaul,S Kaul,,IND,BOW,45,75000,New,FALSE,FALSE,4500000,0.45
2014,Delhi Daredevils,600000000,0,390547,R Shukla,R Shukla,,IND,BOW,40,66000,New,FALSE,FALSE,4000000,0.4
2014,Delhi Daredevils,600000000,0,447587,J Yadav,J Yadav,,IND,AR,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Delhi Daredevils,600000000,0,451947,Milind Kumar,Milind Kumar,,IND,BAT,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Delhi Daredevils,600000000,0,478881,HS Sharath,HS Sharath,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Rajasthan Royals,544500000,55500000,267192,SPD Smith,SPD Smith,,AUS,AR,400,666000,New,FALSE,TRUE,40000000,4
2014,Rajasthan Royals,544500000,55500000,5674,BJ Hodge,BJ Hodge,,AUS,BAT,240,400000,New,FALSE,TRUE,24000000,2.4
2014,Rajasthan Royals,544500000,55500000,26907,R Bhatia,R Bhatia,,IND,AR,170,283000,New,FALSE,FALSE,17000000,1.7
2014,Rajasthan Royals,544500000,55500000,232364,TG Southee,TG Southee,,NZ,BOW,120,200000,New,FALSE,TRUE,12000000,1.2
2014,Rajasthan Royals,544500000,55500000,277955,DS Kulkarni,DS Kulkarni,,IND,BOW,110,183000,New,FALSE,FALSE,11000000,1.1
2014,Rajasthan Royals,544500000,55500000,32091,AM Nayar,AM Nayar,,IND,AR,100,166000,New,FALSE,FALSE,10000000,1
2014,Rajasthan Royals,544500000,55500000,272262,KW Richardson,KW Richardson,,AUS,BOW,100,166000,New,FALSE,TRUE,10000000,1
2014,Rajasthan Royals,544500000,55500000,230371,BCJ Cutting,BCJ Cutting,,AUS,BOW,80,133000,New,FALSE,TRUE,8000000,0.8
2014,Rajasthan Royals,544500000,55500000,398439,KK Nair,KK Nair,,IND,BAT,75,125000,New,FALSE,FALSE,7500000,0.75
2014,Rajasthan Royals,544500000,55500000,262323,I Abdullah,I Abdullah,,IND,AR,65,108000,New,FALSE,FALSE,6500000,0.65
2014,Rajasthan Royals,544500000,55500000,446499,UBT Chand,UBT Chand,,IND,BAT,65,108000,New,FALSE,FALSE,6500000,0.65
2014,Rajasthan Royals,544500000,55500000,497121,DJ Hooda,DJ Hooda,,IND,BOW,40,66000,New,FALSE,FALSE,4000000,0.4
2014,Rajasthan Royals,544500000,55500000,371814,KK Cooper,KK Cooper,,WI,AR,30,50000,New,FALSE,TRUE,3000000,0.3
2014,Rajasthan Royals,544500000,55500000,36071,DH Yagnik,DH Yagnik,,IND,BAT/WK,30,50000,New,FALSE,FALSE,3000000,0.3
2014,Rajasthan Royals,544500000,55500000,31738,VS Malik,VS Malik,,IND,BOW,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Rajasthan Royals,544500000,55500000,422992,Ankit Sharma,Ankit Sharma,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Rajasthan Royals,544500000,55500000,423838,R Tewatia,R Tewatia,,IND,AR,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Rajasthan Royals,544500000,55500000,587152,PV Tambe,PV Tambe,,IND,BOW,10,16000,RTM,FALSE,FALSE,1000000,0.1
2014,Rajasthan Royals,544500000,55500000,604534,AK Bains,AK Bains,,IND,BAT/WK,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Rajasthan Royals,544500000,55500000,604550,Amit Mishra,Amit Mishra,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Rajasthan Royals,544500000,55500000,8180,SR Watson,SR Watson,,AUS,AR,,,New,FALSE,TRUE,,
2014,Rajasthan Royals,544500000,55500000,27223,STR Binny,STR Binny,,IND,AR,,,New,FALSE,FALSE,,
2014,Rajasthan Royals,544500000,55500000,270484,JP Faulkner,JP Faulkner,,AUS,AR,,,New,FALSE,TRUE,,
2014,Rajasthan Royals,544500000,55500000,277916,AM Rahane,AM Rahane,,IND,BAT,,,New,FALSE,FALSE,,
2014,Rajasthan Royals,544500000,55500000,425943,SV Samson,SV Samson,,IND,BAT/WK,,,New,FALSE,FALSE,,
2014,Mumbai Indians,599500000,500000,5939,MEK Hussey,MEK Hussey,,AUS,BAT,500,833000,New,FALSE,TRUE,50000000,5
2014,Mumbai Indians,599500000,500000,277662,CJ Anderson,CJ Anderson,,NZ,AR,450,750000,New,FALSE,TRUE,45000000,4.5
2014,Mumbai Indians,599500000,500000,32130,PP Ojha,PP Ojha,,IND,BOW,325,541000,RTM,FALSE,FALSE,32500000,3.25
2014,Mumbai Indians,599500000,500000,30102,Z Khan,Z Khan,,IND,BOW,260,433000,New,FALSE,FALSE,26000000,2.6
2014,Mumbai Indians,599500000,500000,333904,AP Tare,AP Tare,,IND,BAT/WK,160,266000,New,FALSE,FALSE,16000000,1.6
2014,Mumbai Indians,599500000,500000,625383,JJ Bumrah,JJ Bumrah,,IND,BOW,120,200000,New,FALSE,FALSE,12000000,1.2
2014,Mumbai Indians,599500000,500000,237199,Jalaj S Saxena,Jalaj S Saxena,,IND,AR,90,150000,New,FALSE,FALSE,9000000,0.9
2014,Mumbai Indians,599500000,500000,288284,JR Hazlewood,JR Hazlewood,,AUS,BOW,50,83000,New,FALSE,TRUE,5000000,0.5
2014,Mumbai Indians,599500000,500000,314622,K Santokie,K Santokie,,WI,BOW,30,50000,New,FALSE,TRUE,3000000,0.3
2014,Mumbai Indians,599500000,500000,393279,M de Lange,M de Lange,,SA,BOW,30,50000,New,FALSE,TRUE,3000000,0.3
2014,Mumbai Indians,599500000,500000,302208,CM Gautam,CM Gautam,,IND,BAT/WK,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Mumbai Indians,599500000,500000,388678,BR Dunk,BR Dunk,,AUS,BAT/WK,20,33000,New,FALSE,TRUE,2000000,0.2
2014,Mumbai Indians,599500000,500000,31756,SH Marathe,SH Marathe,,IND,BAT/WK,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Mumbai Indians,599500000,500000,344580,S Gopal,S Gopal,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Mumbai Indians,599500000,500000,431213,P Suyal,P Suyal,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Mumbai Indians,599500000,500000,505773,AV Wankhade,AV Wankhade,,IND,BAT,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Mumbai Indians,599500000,500000,49758,SL Malinga,SL Malinga,,SL,BOW,,,New,FALSE,TRUE,,
2014,Mumbai Indians,599500000,500000,34102,RG Sharma,RG Sharma,,IND,BAT,,,New,FALSE,FALSE,,
2014,Mumbai Indians,599500000,500000,230559,KA Pollard,KA Pollard,,WI,AR,,,New,FALSE,TRUE,,
2014,Mumbai Indians,599500000,500000,29264,Harbhajan Singh,Harbhajan Singh,,IND,BOW,,,New,FALSE,FALSE,,
2014,Mumbai Indians,599500000,500000,33141,AT Rayudu,AT Rayudu,,IND,BAT,,,New,FALSE,FALSE,,
2014,Sunrisers Hyderabad,590000000,10000000,219889,DA Warner,DA Warner,,AUS,BAT,550,916000,New,FALSE,TRUE,55000000,5.5
2014,Sunrisers Hyderabad,590000000,10000000,31107,A Mishra,A Mishra,,IND,BOW,475,791000,New,FALSE,FALSE,47500000,4.75
2014,Sunrisers Hyderabad,590000000,10000000,326016,B Kumar,B Kumar,,IND,BOW,425,708000,New,FALSE,FALSE,42500000,4.25
2014,Sunrisers Hyderabad,590000000,10000000,5334,AJ Finch,AJ Finch,,AUS,BAT,400,666000,New,FALSE,TRUE,40000000,4
2014,Sunrisers Hyderabad,590000000,10000000,30288,KV Sharma,KV Sharma,,IND,BOW,375,625000,New,FALSE,FALSE,37500000,3.75
2014,Sunrisers Hyderabad,590000000,10000000,53115,DJG Sammy,DJG Sammy,,WI,AR,350,583000,RTM,FALSE,TRUE,35000000,3.5
2014,Sunrisers Hyderabad,590000000,10000000,236779,I Sharma,I Sharma,,IND,BOW,260,433000,New,FALSE,FALSE,26000000,2.6
2014,Sunrisers Hyderabad,590000000,10000000,32685,IK Pathan,IK Pathan,,IND,AR,240,400000,New,FALSE,FALSE,24000000,2.4
2014,Sunrisers Hyderabad,590000000,10000000,5961,MC Henriques,MC Henriques,,AUS,AR,100,166000,New,FALSE,TRUE,10000000,1
2014,Sunrisers Hyderabad,590000000,10000000,422108,KL Rahul,KL Rahul,,IND,BAT,100,166000,New,FALSE,FALSE,10000000,1
2014,Sunrisers Hyderabad,590000000,10000000,378496,Parvez Rasool,Parvez Rasool,,IND,AR,95,158000,New,FALSE,FALSE,9500000,0.95
2014,Sunrisers Hyderabad,590000000,10000000,391485,JO Holder,JO Holder,,WI,BOW,75,125000,New,FALSE,TRUE,7500000,0.75
2014,Sunrisers Hyderabad,590000000,10000000,35805,Y Venugopal Rao,Y Venugopal Rao,,IND,BAT,55,91000,New,FALSE,FALSE,5500000,0.55
2014,Sunrisers Hyderabad,590000000,10000000,32102,NV Ojha,NV Ojha,,IND,BAT/WK,50,83000,New,FALSE,FALSE,5000000,0.5
2014,Sunrisers Hyderabad,590000000,10000000,55814,BRM Taylor,BRM Taylor,,ZIM,BAT/WK,30,50000,New,FALSE,TRUE,3000000,0.3
2014,Sunrisers Hyderabad,590000000,10000000,279562,P Parameswaran,P Parameswaran,,IND,BOW,30,50000,New,FALSE,FALSE,3000000,0.3
2014,Sunrisers Hyderabad,590000000,10000000,324444,AG Paunikar,AG Paunikar,,IND,BAT/WK,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Sunrisers Hyderabad,590000000,10000000,389605,A Ashish Reddy,A Ashish Reddy,,IND,BOW,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Sunrisers Hyderabad,590000000,10000000,26798,S Anirudha,S Anirudha,,IND,BAT,20,33000,New,FALSE,FALSE,2000000,0.2
2014,Sunrisers Hyderabad,590000000,10000000,390480,MC Juneja,MC Juneja,,IND,BAT,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Sunrisers Hyderabad,590000000,10000000,604616,CV Milind,CV Milind,,IND,BOW,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Sunrisers Hyderabad,590000000,10000000,642531,RK Bhui,RK Bhui,,IND,BAT,10,16000,New,FALSE,FALSE,1000000,0.1
2014,Sunrisers Hyderabad,590000000,10000000,28235,S Dhawan,S Dhawan,,IND,BAT,,,New,FALSE,FALSE,,
2014,Sunrisers Hyderabad,590000000,10000000,47492,DW Steyn,DW Steyn,,SA,BOW,,,New,FALSE,TRUE,,
