year,team,purse_spent,purse_left,player_id,player_name,player_fullname,birthdate,type,cost_inr_lakh,cost_usd,,,status,transferred,overseas,sold_price_in_cr,sold_price
2021,Delhi Capitals,82.85 cr,2.15 cr,1201520,Ripal Patel,Ripal Patel,,AR,20,27000,,27000000,New,FALSE,FALSE,0.2,2000000
2021,Delhi Capitals,82.85 cr,2.15 cr,236779,Ishant Sharma,Ishant Sharma,,BOW,110,150000,,150000000,Retained,FALSE,FALSE,1.1,11000000
2021,Delhi Capitals,82.85 cr,2.15 cr,247235,Chris Woakes,Chris Woakes,,AR,150,205000,,205000000,Retained,FALSE,TRUE,1.5,15000000
2021,Delhi Capitals,82.85 cr,2.15 cr,26421,R Ashwin,R Ashwin,,AR,760,1041000,,1041000000,Retained,FALSE,FALSE,7.6,76000000
2021,Delhi Capitals,82.85 cr,2.15 cr,267192,Steven Smith,Steven Smith,,BAT,220,301000,,301000000,New,FALSE,TRUE,2.2,22000000
2021,Delhi Capitals,82.85 cr,2.15 cr,277916,Ajinkya Rahane,Ajinkya Rahane,,BAT,525,719000,,719000000,Retained,FALSE,FALSE,5.25,52500000
2021,Delhi Capitals,82.85 cr,2.15 cr,28235,Shikhar Dhawan,Shikhar Dhawan,,BAT,520,712000,,712000000,Retained,FALSE,FALSE,5.2,52000000
2021,Delhi Capitals,82.85 cr,2.15 cr,297628,Sam Billings,Sam Billings,,BAT/WK,200,273000,,273000000,New,FALSE,TRUE,2,20000000
2021,Delhi Capitals,82.85 cr,2.15 cr,31107,Amit Mishra,Amit Mishra,,BOW,400,547000,,547000000,Retained,FALSE,FALSE,4,40000000
2021,Delhi Capitals,82.85 cr,2.15 cr,325012,Marcus Stoinis,Marcus Stoinis,,AR,480,657000,,657000000,Retained,FALSE,TRUE,4.8,48000000
2021,Delhi Capitals,82.85 cr,2.15 cr,376116,Umesh Yadav,Umesh Yadav,,BOW,100,136000,,136000000,New,FALSE,FALSE,1,10000000
2021,Delhi Capitals,82.85 cr,2.15 cr,481979,Anrich Nortje,Anrich Nortje,,BOW,89,123000,,123000000,Retained,FALSE,TRUE,0.89,8900000
2021,Delhi Capitals,82.85 cr,2.15 cr,550215,Kagiso Rabada,Kagiso Rabada,,BOW,420,575000,,575000000,Retained,FALSE,TRUE,4.2,42000000
