year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr,status,transferred,overseas,base_price_in_cr,base_price,auction_result,id_source
2011,5674,Brad Hodge,Kochi,19282250.0,1.928225,,,,,,,,,,sold,from auction file
2011,37737,Brendon McCullum,Kochi,21550750.0,2.155075,,,,,,,,,,sold,from auction file
2011,228622,John Hastings,Kochi,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,49289,Mahela Jayawardene,Kochi,68055000.0,6.8055,,,,,,,,,,sold,from auction file
2011,6161,Michael Klinger,Kochi,3402750.0,0.340275,,,,,,,,,,sold,from auction file
2011,49636,Muttiah Muralitharan,Kochi,49907000.0,4.9907,,,,,,,,,,sold,from auction file
2011,20123,Owais Shah,Kochi,9074000.0,0.9074,,,,,,,,,,sold,from auction file
2011,32242,Parthiv Patel,Kochi,13157300.0,1.31573,,,,,,,,,,sold,from auction file
2011,35280,RP Singh,Kochi,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,32391,Ramesh Powar,Kochi,8166600.0,0.81666,,,,,,,,,,sold,from auction file
2011,234675,Ravindra Jadeja,Kochi,43101500.0,4.31015,,,,,,,,,,sold,from auction file
2011,34274,Sreesanth,Kochi,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,7069,Steve O'Keefe,Kochi,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,267192,Steven Smith,Kochi,9074000.0,0.9074,,,,,,,,,,sold,from auction file
2011,233514,Thisara Perera,Kochi,3629600.0,0.36296,,,,,,,,,,sold,from auction file
2011,30750,VVS Laxman,Kochi,18148000.0,1.8148,,,,,,,,,,sold,from auction file
2011,35731,Vinay Kumar,Kochi,21550750.0,2.155075,,,,,,,,,,sold,from auction file
2011,5560,Brad Haddin,Kolkata Knight Riders,14745250.0,1.474525,,,,,,,,,,sold,from auction file
2011,6278,Brett Lee,Kolkata Knight Riders,18148000.0,1.8148,,,,,,,,,,sold,from auction file
2011,24598,Eoin Morgan,Kolkata Knight Riders,15879500.0,1.58795,,,,,,,,,,sold,from auction file
2011,28763,Gautam Gambhir,Kolkata Knight Riders,108888000.0,10.8888,,,,,,,,,,sold,from auction file
2011,45789,Jacques Kallis,Kolkata Knight Riders,49907000.0,4.9907,,,,,,,,,,sold,from auction file
2011,390484,Jaidev Unadkat,Kolkata Knight Riders,11342500.0,1.13425,,,,,,,,,,sold,from auction file
2011,272465,James Pattinson,Kolkata Knight Riders,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,26829,L Balaji,Kolkata Knight Riders,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,35565,Manoj Tiwary,Kolkata Knight Riders,21550750.0,2.155075,,,,,,,,,,sold,from auction file
2011,47660,Ryan ten Doeschate,Kolkata Knight Riders,6805500.0,0.68055,,,,,,,,,,sold,from auction file
2011,56143,Shakib Al Hasan,Kolkata Knight Riders,19282250.0,1.928225,,,,,,,,,,sold,from auction file
2011,32498,Yusuf Khan Pathan,Kolkata Knight Riders,95277000.0,9.5277,,,,,,,,,,sold,from auction file
2011,4498,Aiden Blizzard,Mumbai Indians,907400.0,0.09074,,,,,,,,,,sold,from auction file
2011,7702,Andrew Symonds,Mumbai Indians,38564500.0,3.85645,,,,,,,,,,sold,from auction file
2011,6903,Clint McKay,Mumbai Indians,4990700.0,0.49907,,,,,,,,,,sold,from auction file
2011,45782,Davy Jacobs,Mumbai Indians,8620300.0,0.86203,,,,,,,,,,sold,from auction file
2011,29264,Harbhajan Singh,Mumbai Indians,58981000.0,5.8981,,,,,,,,,,sold,from auction file
2011,37004,James Franklin,Mumbai Indians,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,230559,Kieron Pollard,Mumbai Indians,40833000.0,4.0833,,,,,,,,,,sold,from auction file
2011,49758,Lasith Malinga,Mumbai Indians,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,5961,Moises Henriques,Mumbai Indians,2268500.0,0.22685,,,,,,,,,,sold,from auction file
2011,32965,Munaf Patel,Mumbai Indians,31759000.0,3.1759,,,,,,,,,,sold,from auction file
2011,34102,Rohit Sharma,Mumbai Indians,90740000.0,9.074,,,,,,,,,,sold,from auction file
2011,35320,Sachin Tendulkar,Mumbai Indians,81666000.0,8.1666,,,,,,,,,,sold,from auction file
2011,47569,Alfonso Thomas,Pune Warriors,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,49764,Angelo Mathews,Pune Warriors,43101500.0,4.31015,,,,,,,,,,sold,from auction file
2011,31820,Ashish Nehra,Pune Warriors,38564500.0,3.85645,,,,,,,,,,sold,from auction file
2011,5236,Callum Ferguson,Pune Warriors,13611000.0,1.3611,,,,,,,,,,sold,from auction file
2011,47270,Graeme Smith,Pune Warriors,22685000.0,2.2685,,,,,,,,,,sold,from auction file
2011,53191,Jerome Taylor,Pune Warriors,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,38373,Jesse Ryder,Pune Warriors,6805500.0,0.68055,,,,,,,,,,sold,from auction file
2011,272450,Mitchell Marsh,Pune Warriors,13157300.0,1.31573,,,,,,,,,,sold,from auction file
2011,30049,Murali Kartik,Pune Warriors,18148000.0,1.8148,,,,,,,,,,sold,from auction file
2011,37749,Nathan McCullum,Pune Warriors,4537000.0,0.4537,,,,,,,,,,sold,from auction file
2011,35582,Robin Uthappa,Pune Warriors,95277000.0,9.5277,,,,,,,,,,sold,from auction file
2011,7252,Tim Paine,Pune Warriors,12249900.0,1.22499,,,,,,,,,,sold,from auction file
