year,player_name,player_id,base_price_in_cr,base_price,base_price_in_usd,status,id_source
2022,Aneeshwar Gautam,1292513,0.2,2000000,,sold,already had id
2022,Ayush Badoni,1151270,0.2,2000000,,sold,already had id
2022,Riley Meredith,961713,1,10000000,,sold,already had id
2022,Alzarri Joseph,670031,0.75,7500000,,sold,already had id
2022,Sean Abbott,398666,0.75,7500000,,sold,already had id
2022,Prashant Solanki,1252337,0.2,2000000,,sold,already had id
2022,Chama Milind,604616,0.2,2000000,,sold,already had id
2022,Mohsin Khan,1132005,0.2,2000000,,sold,already had id
2022,Rasikh Salam Dar,1161489,0.2,2000000,,sold,already had id
2022,Mukesh Choudhary,1125688,0.2,2000000,,sold,already had id
2022,Vaibhav Arora,1209292,0.2,2000000,,sold,already had id
2022,Suyash Prabhudessai,1083851,0.2,2000000,,sold,already had id
2022,Prerak Mankad,956871,0.2,2000000,,sold,already had id
2022,Praveen Dubey,777515,0.2,2000000,,sold,already had id
2022,Tim David,892749,0.4,4000000,,sold,already had id
2022,Subhranshu Senapati,1059577,0.2,2000000,,sold,already had id
2022,Adam Milne,450860,1.5,15000000,,sold,already had id
2022,Tymal Mills,459257,1,10000000,,sold,already had id
2022,Obed McCoy,906783,0.75,7500000,,sold,already had id
2022,Jason Behrendorff,272477,0.75,7500000,,sold,already had id
