player_name,country,playing_role,date_of_birth,age,batting_style,bowling_style,career_span,input_url,warning,warning_code,error,matches,wickets,batting_average,strike_rate,Balls,BBI,Ave,Econ,SR,Inns,NO,runs,HS,50s,5
Mithun Manhas,India,Allrounder,"September 12, 1977, Jammu",48y 275d,Right hand Bat,Right arm Offbreak,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,55,,22.34,109.36,42.0,-,,6.0,,38.0,15.0,514.0,42.0,,
Arun Karthik,India,Wicketkeeper Batter,"February 15, 1986, Walajapet, Tamil Nadu",40y 119d,Right hand Bat,Legbreak Googly,,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,17,,10.20,100.00,,-,,,,8.0,3.0,51.0,19.0,,
Akeal Hosein,West Indies,Bowler,"April 25, 1993, Port-of-Spain",33y 50d,Left hand Bat,Slow Left arm Orthodox,INTL CAREER: 2021 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,8,9.0,-,161.53,172.0,4/17,26.44,8.3,19.1,4.0,4.0,21.0,16.0,,1.0
Mark Wood,England,Bowler,"January 11, 1990, Ashington, Northumberland",36y 154d,Right hand Bat,Right arm Fast,INTL CAREER: 2015 - 2025,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,5,11.0,6.00,150.00,120.0,5/14,16.27,8.95,10.9,3.0,1.0,12.0,10.0,,
Matthew Short,Australia,Batting Allrounder,"November 08, 1995",30y 218d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2023 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,9,,19.66,123.77,43.0,-,,8.93,,9.0,,177.0,36.0,,
Suraj Randiv,Sri Lanka,Bowler,"January 30, 1985, Matara",41y 135d,Right hand Bat,Right arm Offbreak,INTL CAREER: 2009 - 2016,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,8,6.0,2.00,50.00,174.0,2/24,37.16,7.68,29.0,1.0,,2.0,2.0,,
Dirk Nannes,Australia,Bowler,"May 16, 1976, Mount Waverley, Melbourne, Victoria",50y 29d,Right hand Bat,Left arm Fast,INTL CAREER: 2009 - 2010,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,29,28.0,4.00,30.76,645.0,3/27,28.03,7.3,23.0,3.0,2.0,4.0,3.0,,
Ben Laughlin,Australia,Bowler,"October 03, 1982, Box Hill, Victoria",43y 254d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2009 - 2013,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,9,10.0,2.50,38.46,167.0,2/15,28.2,10.13,16.7,4.0,2.0,5.0,4.0,,
Matt Henry,New Zealand,Bowler,"December 14, 1991, Christchurch, Canterbury",34y 182d,Right hand Bat,Right arm Fast medium,INTL CAREER: 2014 - 2026,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,9,4.0,3.50,70.00,162.0,2/54,77.75,11.51,40.5,2.0,,7.0,5.0,,
Tim Southee,New Zealand,Bowler,"December 11, 1988, Whangarei, Northland",37y 185d,Right hand Bat,Right arm Medium fast,INTL CAREER: 2008 - 2024,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,54,47.0,9.23,112.14,1206.0,3/20,37.06,8.66,25.6,20.0,7.0,120.0,36.0,,
Jacob Oram,New Zealand,Allrounder,"July 28, 1978, Palmerston North, Manawatu",47y 321d,Left hand Bat,Right arm Fast medium,INTL CAREER: 2001 - 2012,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,18,9.0,13.25,98.14,237.0,3/32,38.77,8.83,26.3,12.0,4.0,106.0,41.0,,
Harbhajan Singh,India,Bowler,"July 03, 1980, Jullundur (now Jalandhar), Punjab",45y 346d,Right hand Bat,Right arm Offbreak,INTL CAREER: 1998 - 2016,https://www.espncricinfo.com/records/trophy/averages-batting/indian-premier-league-117?team=4343,,,,163,150.0,15.71,137.91,3416.0,5/18,26.86,7.07,22.7,90.0,37.0,833.0,64.0,1.0,1.0
