year,player_name,player_id,base_price_in_cr,base_price_in_usd,status,source_text
2019,Keemo Paul,677081,0.5,,sold,Keemo Paul (Base price INR 50 lakhs) sold to Delhi Capitals for INR 50 lakhs
2019,Prayas Ray Barman,1159712,0.2,,sold,Prayas Ray Barman (Base price INR 20 lakhs) sold to Royal Challengers Bangalore for INR 1.5 crore
2019,Agnivesh Ayachi,1083577,0.2,,sold,Agnivesh Ayachi (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 20 lakhs
2019,Harpreet Brar,1168641,0.2,,sold,Harpreet Brar (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 20 lakhs
2019,Martin Guptill,226492,1,,sold,Martin Guptill (Base price INR 1 crore) sold to Sunrisers Hyderabad for INR 1 crore - re-presented in accelerated auction
2019,Yuvraj Singh,36084,1,,sold,Yuvraj Singh (Base price INR 1 crore) sold to Mumbai Indians for INR 1 crore - re-presented in accelerated auction
2019,Akshdeep Nath,500360,0.2,,sold,Akshdeep Nath (Base price INR 20 lakhs) sold to Royal Challengers Bangalore for INR 3.6 crores - re-presented in accelerated auction
2019,Jalaj Saxena,237199,0.2,,sold,Jalaj Saxena (Base price INR 20 lakhs) sold to Delhi Capitals for INR 20 lakhs - re-presented in accelerated auction
2019,M Ashwin,528067,0.2,,sold,M Ashwin (Base price INR 20 lakhs) sold to Kings XI Punjab for INR 20 lakhs - re-presented in accelerated auction
2019,Ruturaj Gaikwad,1060380,0.2,,sold,Ruturaj Gaikwad (Base price INR 20 lakhs) sold to Chennai Super Kings for INR 20 lakhs
2019,Shubham Ranjane,554701,0.2,,sold,Shubham Ranjane (Base price INR 20 lakhs) sold to Rajasthan Royals for INR 20 lakhs - re-presented in accelerated auction
2019,Joe Denly,12454,1,,sold,Joe Denly (Base price INR 1 crore) sold to Kolkata Knight Riders for INR 1 crore - re-presented in accelerated auction
2019,B Ayyappa,588144,0.2,,sold,B Ayyappa (Base price INR 20 lakhs) sold to Delhi Capitals for INR 20 lakhs
2019,Shrikant Mundhe,279862,0.2,,sold,Shrikant Mundhe (Base price INR 20 lakhs) sold to Kolkata Knight Riders for INR 20 lakhs - re-presented in accelerated auction
2019,Manan Vohra,532856,0.2,,sold,Manan Vohra (Base price INR 20 lakhs) sold to Rajasthan Royals for INR 20 lakhs - re-presented in accelerated auction
2019,Ashton Turner,500268,0.5,,sold,Ashton Turner (Base price INR 50 lakhs) sold to Rajasthan Royals for INR 50 lakhs - re-presented in accelerated auction
2019,Riyan Parag,1079434,0.2,,sold,Riyan Parag (Base price INR 20 lakhs) sold to Rajasthan Royals for INR 20 lakhs
2019,Manoj Tiwary,35565,0.5,,unsold,Manoj Tiwary (Base price INR 50 lakhs)
2019,Cheteshwar Pujara,32540,0.5,,unsold,Cheteshwar Pujara (Base price INR 50 lakhs)
2019,Alex Hales,249866,1.5,,unsold,Alex Hales (Base price INR 1.5 crores)
2019,Brendon McCullum,37737,2,,unsold,Brendon McCullum (Base price INR 2 crores)
2019,Chris Woakes,247235,2,,unsold,Chris Woakes (Base price INR 2 crores)
2019,Chris Jordan,288992,1,,unsold,Chris Jordan (Base price INR 1 crore)
2019,Naman Ojha,32102,0.75,,unsold,Naman Ojha (Base price INR 75 lakhs)
2019,Ben McDermott,603410,0.5,,unsold,Ben McDermott (Base price INR 50 lakhs)
2019,Rahul Sharma,272994,0.5,,unsold,Rahul Sharma (Base price INR 50 lakhs)
2019,Adam Zampa,379504,1,,unsold,Adam Zampa (Base price INR 1 crore)
2019,Khary Pierre,581160,0.5,,unsold,Khary Pierre (Base price INR 50 lakhs)
2019,Fawad Ahmed,240609,0.5,,unsold,Fawad Ahmed (Base price INR 50 lakhs)
2019,Sachin Baby,432783,0.2,,unsold,Sachin Baby (Base price INR 20 lakhs)
2019,Ankit Bawne,327123,0.2,,unsold,Ankit Bawne (Base price INR 20 lakhs)
2019,Armaan Jaffer,960369,0.2,,unsold,Armaan Jaffer (Base price INR 20 lakhs)
2019,Ayush Badoni,1151270,0.2,,unsold,Ayush Badoni (Base price INR 20 lakhs)
2019,Sheldon Jackson,237696,0.2,,unsold,Sheldon Jackson (Base price INR 20 lakhs)
2019,B Indrajith,477069,0.2,,unsold,B Indrajith (Base price INR 20 lakhs)
2019,Anuj Rawat,1123073,0.2,,unsold,Anuj Rawat (Base price INR 20 lakhs)
2019,KS Bharat,529436,0.2,,unsold,KS Bharat (Base price INR 20 lakhs)
2019,Arun Karthik,319745,0.2,,unsold,Arun Karthik (Base price INR 20 lakhs)
2019,Aniket Choudhary,527299,0.2,,unsold,Aniket Choudhary (Base price INR 20 lakhs)
2019,Ishan Porel,967603,0.2,,unsold,Ishan Porel (Base price INR 20 lakhs)
2019,Rajneesh Gurbani,950165,0.2,,unsold,Rajneesh Gurbani (Base price INR 20 lakhs)
2019,Chama Milind,604616,0.2,,unsold,Chama Milind (Base price INR 20 lakhs)
2019,Tushar Deshpande,822553,0.2,,unsold,Tushar Deshpande (Base price INR 20 lakhs)
2019,J Suchith,527663,0.2,,unsold,J Suchith (Base price 20 lakhs)
2019,Yuvraj Chudasama,969367,0.2,,unsold,Yuvraj Chudasama (Base price 20 lakhs)
2019,Zahir Khan,712219,0.4,,unsold,Zahir Khan (Base price INR 40 lakhs)
2019,KC Cariappa,777537,0.2,,unsold,KC Cariappa (Base price INR 20 lakhs)
2019,R Sai Kishore,1048739,0.2,,unsold,R Sai Kishore (Base price INR 20 lakhs)
2019,Usman Khawaja,215155,1,,unsold,Usman Khawaja (Base price INR 1 crore)
2019,Hazratullah Zazai,793457,0.5,,unsold,Hazratullah Zazai (Base price INR 50 lakhs)
2019,Reeza Hendricks,269280,0.5,,unsold,Reeza Hendricks (Base price INR 50 lakhs)
2019,Shaun Marsh,6683,2,,unsold,Shaun Marsh (Base price INR 2 crores)
