year,player_id,player_name,team,sold_price,sold_price_in_cr,purse_spent,purse_spent_in_cr,purse_left,purse_left_in_cr
2016,500360,Akshdeep Nath,Gujarat Lions,1000000,0.1,,,,
2016,604550,Amit Mishra,Gujarat Lions,1000000,0.1,,,,
2016,459508,Andrew Tye,Gujarat Lions,5000000,0.5,,,,
2016,47492,Dale Steyn,Gujarat Lions,23000000,2.3,,,,
2016,277955,Dhawal Kulkarni,Gujarat Lions,20000000,2.0,,,,
2016,30045,Dinesh Karthik,Gujarat Lions,23000000,2.3,,,,
2016,53118,Dwayne Smith,Gujarat Lions,23000000,2.3,,,,
2016,340841,Eklavya Dwivedi,Gujarat Lions,10000000,1.0,,,,
2016,720471,Ishan Kishan,Gujarat Lions,3500000,0.35,,,,
2016,34997,Jaydev Shah,Gujarat Lions,2000000,0.2,,,,
2016,28160,Paras Dogra,Gujarat Lions,1000000,0.1,,,,
2016,279545,Pradeep Sangwan,Gujarat Lions,2000000,0.2,,,,
2016,30732,Praveen Kumar,Gujarat Lions,35000000,3.5,,,,
2016,587152,Pravin Tambe,Gujarat Lions,2000000,0.2,,,,
2016,317292,Sarabjit Ladda,Gujarat Lions,1000000,0.1,,,,
2016,29655,Shadab Jakati,Gujarat Lions,2000000,0.2,,,,
2016,917213,Shivil Kaushik,Gujarat Lions,1000000,0.1,,,,
2016,596945,Umang Sharma,Gujarat Lions,1000000,0.1,,,,
2016,591650,Ankit Rajpoot,Kolkata Knight Riders,15000000,1.5,,,,
2016,232359,Colin Munro,Kolkata Knight Riders,3000000,0.3,,,,
2016,391485,Jason Holder,Kolkata Knight Riders,7000000,0.7,,,,
2016,390484,Jaydev Unadkat,Kolkata Knight Riders,16000000,1.6,,,,
2016,228622,John Hastings,Kolkata Knight Riders,13000000,1.3,,,,
2016,339955,Manan Sharma,Kolkata Knight Riders,1000000,0.1,,,,
2016,33870,R Sathish,Kolkata Knight Riders,2000000,0.2,,,,
2016,807791,Deepak Punia,Mumbai Indians,1000000,0.1,,,,
2016,721867,Jitesh Sharma,Mumbai Indians,1000000,0.1,,,,
2016,308967,Jos Buttler,Mumbai Indians,38000000,3.8,,,,
2016,919241,Kishore Kamath,Mumbai Indians,14000000,1.4,,,,
2016,471342,Krunal Pandya,Mumbai Indians,20000000,2.0,,,,
2016,853259,Nathu Singh,Mumbai Indians,32000000,3.2,,,,
2016,232364,Tim Southee,Mumbai Indians,25000000,2.5,,,,
2016,960369,Armaan Jaffer,Punjab Kings,1000000,0.1,,,,
2016,44410,Farhaan Behardien,Punjab Kings,3000000,0.3,,,,
2016,777537,KC Cariappa,Punjab Kings,8000000,0.8,,,,
2016,297583,Kyle Abbott,Punjab Kings,21000000,2.1,,,,
2016,325012,Marcus Stoinis,Punjab Kings,5500000,0.55,,,,
2016,537119,Mohit Sharma,Punjab Kings,65000000,6.5,,,,
2016,34155,Pardeep Sahu,Punjab Kings,1000000,0.1,,,,
2016,232292,Swapnil Singh,Punjab Kings,1000000,0.1,,,,
2016,379504,Adam Zampa,Rising Pune Supergiants,3000000,0.3,,,,
2016,422992,Ankit Sharma,Rising Pune Supergiants,1000000,0.1,,,,
2016,604534,Ankush Bains,Rising Pune Supergiants,1000000,0.1,,,,
2016,227712,Ashok Dinda,Rising Pune Supergiants,5000000,0.5,,,,
2016,477071,Baba Aparajith,Rising Pune Supergiants,1000000,0.1,,,,
2016,447261,Deepak Chahar,Rising Pune Supergiants,1000000,0.1,,,,
2016,32685,Irfan Pathan,Rising Pune Supergiants,10000000,1.0,,,,
2016,236779,Ishant Sharma,Rising Pune Supergiants,38000000,3.8,,,,
2016,447439,Ishwar Pandey,Rising Pune Supergiants,2000000,0.2,,,,
2016,376102,Jaskaran Singh,Rising Pune Supergiants,1000000,0.1,,,,
2016,19296,Kevin Pietersen,Rising Pune Supergiants,35000000,3.5,,,,
2016,528067,M Ashwin,Rising Pune Supergiants,45000000,4.5,,,,
2016,272450,Mitchell Marsh,Rising Pune Supergiants,48000000,4.8,,,,
2016,334337,Peter Handscomb,Rising Pune Supergiants,3000000,0.3,,,,
2016,35280,RP Singh,Rising Pune Supergiants,3000000,0.3,,,,
2016,26907,Rajat Bhatia,Rising Pune Supergiants,6000000,0.6,,,,
2016,446548,Scott Boland,Rising Pune Supergiants,5000000,0.5,,,,
2016,233514,Thisara Perera,Rising Pune Supergiants,10000000,1.0,,,,
2016,528730,Akshay Karnewar,Royal Challengers Bangalore,1000000,0.1,,,,
2016,277237,Iqbal Abdulla,Royal Challengers Bangalore,1000000,0.1,,,,
2016,272262,Kane Richardson,Royal Challengers Bangalore,20000000,2.0,,,,
2016,777515,Praveen Dubey,Royal Challengers Bangalore,3500000,0.35,,,,
2016,432783,Sachin Baby,Royal Challengers Bangalore,1000000,0.1,,,,
2016,51433,Samuel Badree,Royal Challengers Bangalore,5000000,0.5,,,,
2016,8180,Shane Watson,Royal Challengers Bangalore,95000000,9.5,,,,
2016,27223,Stuart Binny,Royal Challengers Bangalore,20000000,2.0,,,,
2016,530011,Travis Head,Royal Challengers Bangalore,5000000,0.5,,,,
2016,474519,Vikas Tokas,Royal Challengers Bangalore,1000000,0.1,,,,
2016,31738,Vikramjeet Malik,Royal Challengers Bangalore,2000000,0.2,,,,
2016,310958,Abhimanyu Mithun,Sunrisers Hyderabad,3000000,0.3,,,,
2016,333904,Aditya Tare,Sunrisers Hyderabad,12000000,1.2,,,,
2016,31820,Ashish Nehra,Sunrisers Hyderabad,55000000,5.5,,,,
2016,537126,Barinder Sran,Sunrisers Hyderabad,12000000,1.2,,,,
2016,230371,Ben Cutting,Sunrisers Hyderabad,5000000,0.5,,,,
2016,497121,Deepak Hooda,Sunrisers Hyderabad,42000000,4.2,,,,
2016,330902,Mustafizur Rahman,Sunrisers Hyderabad,14000000,1.4,,,,
2016,34281,T Suman,Sunrisers Hyderabad,1000000,0.1,,,,
2016,477021,Vijay Shankar,Sunrisers Hyderabad,3500000,0.35,,,,
2016,36084,Yuvraj Singh,Sunrisers Hyderabad,70000000,7.0,,,,
2017,333904,Aditya Tare,Delhi Daredevils,2500000,0.25,569500000.0,56.95,90500000.0,9.05
2017,31107,Amit Mishra,Delhi Daredevils,35000000,3.5,569500000.0,56.95,90500000.0,9.05
2017,49764,Angelo Mathews,Delhi Daredevils,20000000,2.0,569500000.0,56.95,90500000.0,9.05
2017,327123,Ankit Bawne,Delhi Daredevils,1000000,0.1,569500000.0,56.95,90500000.0,9.05
2017,457249,Carlos Brathwaite,Delhi Daredevils,42000000,4.2,569500000.0,56.95,90500000.0,9.05
2017,604616,Chama Milind,Delhi Daredevils,1000000,0.1,569500000.0,56.95,90500000.0,9.05
2017,439952,Chris Morris,Delhi Daredevils,70000000,7.0,569500000.0,56.95,90500000.0,9.05
2017,277662,Corey Anderson,Delhi Daredevils,10000000,1.0,569500000.0,56.95,90500000.0,9.05
2017,44932,JP Duminy,Delhi Daredevils,22000000,2.2,569500000.0,56.95,90500000.0,9.05
2017,447587,Jayant Yadav,Delhi Daredevils,1000000,0.1,569500000.0,56.95,90500000.0,9.05
2017,550215,Kagiso Rabada,Delhi Daredevils,50000000,5.0,569500000.0,56.95,90500000.0,9.05
2017,398439,Karun Nair,Delhi Daredevils,40000000,4.0,569500000.0,56.95,90500000.0,9.05
2017,942645,Khaleel Ahmed,Delhi Daredevils,1000000,0.1,569500000.0,56.95,90500000.0,9.05
2017,528067,M Ashwin,Delhi Daredevils,10000000,1.0,569500000.0,56.95,90500000.0,9.05
2017,481896,Mohammed Shami,Delhi Daredevils,42500000,4.25,569500000.0,56.95,90500000.0,9.05
2017,700167,Navdeep Saini,Delhi Daredevils,1000000,0.1,569500000.0,56.95,90500000.0,9.05
2017,489889,Pat Cummins,Delhi Daredevils,45000000,4.5,569500000.0,56.95,90500000.0,9.05
2017,717205,Pratyush Singh,Delhi Daredevils,1000000,0.1,569500000.0,56.95,90500000.0,9.05
